trait,pop,R2_1,R2_2,R2_2_se,predR2_2,RA,RA_se,pred_RA,pred_RA_II,N1,N2,loa,pred_loa,pred_loa_II,Sig_pval
Height,EUR,0.193,0.193,0.006,0.194,100,4.1,100,100,19979,19979,0,0,0,0
Height,SAS,0.193,0.104,0.006,0.173,53.9,3.6,100.5,89.1,19979,9448,46.1,-0.5,10.9,1
Height,EAS,0.193,0.075,0.011,0.149,39,5.9,95.1,76.7,19979,2257,61,4.9,23.3,1
Height,AFR,0.193,0.03,0.004,0.076,15.3,2.1,45.4,39.4,19979,7015,84.7,54.6,60.6,1
BMI,EUR,0.035,0.035,0.003,0.035,100,10.5,100,100,19979,19979,0,0,0,0
BMI,SAS,0.035,0.023,0.003,0.031,64.1,9.9,86.5,87.6,19979,9448,35.9,13.5,12.4,1
BMI,EAS,0.035,0.016,0.005,0.027,44.4,15.2,78.7,77.3,19979,2257,55.6,21.3,22.7,1
BMI,AFR,0.035,0.004,0.002,0.014,12,4.5,38.2,38.6,19979,7015,88,61.8,61.4,1
LDL,EUR,0.101,0.101,0.004,0.102,100,6,100,100,19979,19979,0,0,0,0
LDL,SAS,0.101,0.036,0.004,0.074,35.2,4.1,81.3,72.7,19979,9448,64.8,18.7,27.3,1
LDL,EAS,0.101,0.059,0.01,0.06,58.5,10.1,65.3,59.5,19979,2257,41.5,34.7,40.5,1
LDL,AFR,0.101,0.041,0.005,0.026,40.5,5,24.5,25.7,19979,7015,59.5,75.5,74.3,1
HDL,EUR,0.093,0.093,0.004,0.093,100,6.3,100,100,19979,19979,0,0,0,0
HDL,SAS,0.093,0.072,0.005,0.084,77.8,6.7,91,89.3,19979,9448,22.2,9,10.7,1
HDL,EAS,0.093,0.064,0.01,0.069,69.2,11.5,76.1,74,19979,2257,30.8,23.9,26,1
HDL,AFR,0.093,0.014,0.003,0.033,15,3.1,40.9,35.8,19979,7015,85,59.1,64.2,1
TG,EUR,0.07,0.07,0.004,0.071,100,7.3,100,100,19979,19979,0,0,0,0
TG,SAS,0.07,0.061,0.005,0.061,86.5,8.3,85.4,86.5,19979,9448,13.5,14.6,13.5,0
TG,EAS,0.07,0.033,0.007,0.051,46.3,10.9,69.2,71.9,19979,2257,53.7,30.8,28.1,1
TG,AFR,0.07,0.011,0.003,0.026,16.2,3.7,37.8,36.5,19979,7015,83.8,62.2,63.5,1
ASTHMA,EUR,0.026,0.026,0.004,0.026,100,19.3,100,100,19979,19979,0,0,0,0
ASTHMA,SAS,0.026,0.018,0.004,0.022,69.4,18.8,84,85.1,19979,9448,30.6,16,14.9,0
ASTHMA,EAS,0.026,0.004,0.005,0.02,16.6,18.4,78.5,74.7,19979,2257,83.4,21.5,25.3,1
ASTHMA,AFR,0.026,0.01,0.004,0.009,38.5,15.5,35.2,34,19979,7015,61.5,64.8,66,1
T2D,EUR,0.026,0.026,0.005,0.026,100,25.2,100,100,19979,19979,0,0,0,0
T2D,SAS,0.026,0.027,0.005,0.023,106.1,26.6,86,88.4,19979,9448,-6.1,14,11.6,0
T2D,EAS,0.026,0.017,0.01,0.023,65,41.9,87.4,88.8,19979,2257,35,12.6,11.2,0
T2D,AFR,0.026,0.007,0.003,0.01,25.7,12.7,37.9,39.2,19979,7015,74.3,62.1,60.8,1
HTN,EUR,0.011,0.011,0.002,0.011,100,27.9,100,100,19979,19979,0,0,0,0
HTN,SAS,0.011,0.009,0.003,0.01,85.2,30.1,87.4,90.8,19979,9448,14.8,12.6,9.2,0
HTN,EAS,0.011,0.018,0.009,0.008,171.7,90.7,80.3,77.4,19979,2257,-71.7,19.7,22.6,0
HTN,AFR,0.011,0.003,0.002,0.004,27.3,17.2,36.4,37.7,19979,7015,72.7,63.6,62.3,1
